iter	Passed	Remaining
309	1117	2486
310	1118	2477
311	1119	2467
312	1122	2464
313	1171	2558
314	1172	2549
315	1173	2539
316	1174	2531
317	1175	2521
318	1176	2512
319	1178	2503
320	1211	2563
321	1213	2554
322	1214	2544
323	1215	2535
324	1215	2525
325	1217	2516
326	1217	2506
327	1218	2497
328	1219	2488
329	1220	2478
330	1300	2628
331	1301	2619
332	1302	2609
333	1303	2599
334	1305	2592
335	1307	2583
336	1308	2574
337	1309	2565
338	1310	2555
339	1311	2546
340	1312	2537
341	1313	2527
342	1314	2518
343	1315	2509
344	1316	2500
345	1317	2491
346	1318	2481
347	1320	2473
348	1321	2464
349	1322	2455
350	1323	2446
351	1324	2437
352	1325	2429
353	1326	2420
354	1327	2411
355	1328	2402
356	1329	2394
357	1330	2385
358	1331	2377
359	1513	2690
360	1514	2680
361	1515	2670
362	1516	2661
363	1517	2651
364	1521	2646
365	1522	2636
366	1523	2627
367	1524	2618
368	1525	2608
369	1526	2599
370	1527	2589
371	1528	2580
372	1529	2571
373	1530	2562
374	1532	2553
375	1533	2545
376	1536	2538
377	1537	2529
378	1538	2520
379	1539	2511
380	1540	2502
381	1541	2493
382	1553	2502
383	1554	2494
384	1586	2534
385	1588	2526
386	1767	2799
387	1768	2790
388	1769	2779
389	1771	2770
390	1772	2760
391	1773	2750
392	1774	2740
393	1775	2730
394	1776	2720
395	1777	2710
396	1778	2701
397	1781	2695
398	1783	2685
399	1784	2676
400	1785	2666
401	1786	2657
402	1787	2647
403	1788	2638
404	1789	2628
405	1790	2619
406	1791	2610
407	1792	2600
408	1793	2591
409	1831	2635
410	1832	2626
411	1833	2616
412	1835	2608
413	1836	2599
414	1837	2590
415	1838	2580
416	1839	2571
417	1840	2563
418	1841	2553
419	1843	2546
420	1844	2537
421	1846	2528
422	1847	2519
423	1848	2510
424	1851	2504
425	1852	2495
426	1853	2486
427	1854	2478
428	1855	2469
429	1856	2461
430	1857	2452
431	1868	2457
432	1869	2448
433	1870	2439
434	1871	2431
435	1872	2422
436	1884	2427
437	1885	2419
438	1886	2410
439	1887	2402
440	1888	2393
441	1889	2385
442	1892	2379
443	1893	2371
444	1894	2362
445	1895	2354
446	1897	2347
447	1898	2338
448	1899	2330
449	1900	2322
450	1901	2314
451	1902	2306
452	1903	2298
453	1916	2304
454	1918	2297
455	1920	2290
456	1923	2285
457	1924	2277
458	1939	2285
459	1940	2278
460	1941	2270
461	1947	2267
462	1948	2260
463	1949	2252
464	1950	2244
465	1951	2236
466	1952	2228
467	1953	2221
468	1954	2213
469	1956	2205
470	1957	2198
471	1958	2190
472	1959	2182
473	1960	2175
474	1961	2168
475	1962	2160
476	1964	2153
477	1965	2146
478	1966	2139
479	1967	2131
480	1968	2124
481	1969	2117
482	1970	2109
483	1972	2102
484	1973	2095
485	1974	2087
486	1975	2081
487	1976	2074
488	1995	2084
489	1996	2077
490	1997	2070
491	1998	2063
492	1999	2056
493	2000	2049
494	2001	2042
495	2002	2035
496	2003	2028
497	2007	2023
498	2010	2018
499	2012	2012
500	2013	2005
501	2014	1998
502	2015	1991
503	2017	1985
504	2019	1979
505	2020	1972
506	2021	1965
507	2022	1958
508	2023	1951
509	2024	1945
510	2025	1938
511	2026	1931
512	2027	1925
513	2028	1918
514	2029	1911
515	2030	1904
516	2031	1898
517	2033	1891
518	2035	1886
519	2037	1880
520	2038	1873
521	2039	1867
522	2040	1861
523	2042	1855
524	2043	1848
525	2044	1842
526	2045	1835
527	2046	1829
528	2047	1823
529	2049	1817
530	2050	1811
531	2051	1804
532	2052	1798
533	2053	1792
534	2054	1785
535	2055	1779
536	2062	1778
537	2064	1772
538	2066	1767
539	2067	1761
540	2069	1755
541	2071	1750
542	2072	1744
543	2074	1738
544	2076	1733
545	2077	1727
546	2079	1721
547	2080	1715
548	2082	1710
549	2083	1704
550	2085	1699
551	2087	1693
552	2088	1688
553	2090	1682
554	2104	1687
555	2106	1681
556	2107	1676
557	2110	1671
558	2111	1665
559	2112	1660
560	2115	1655
561	2116	1649
562	2117	1643
563	2118	1637
564	2119	1632
565	2120	1626
566	2121	1620
567	2122	1614
568	2123	1608
569	2124	1602
570	2125	1597
571	2126	1591
572	2127	1585
573	2128	1579
574	2129	1574
575	2130	1568
576	2131	1562
577	2133	1557
578	2134	1551
579	2135	1546
580	2136	1540
581	2137	1534
582	2138	1529
583	2144	1527
584	2146	1522
585	2147	1517
586	2149	1512
587	2150	1507
588	2152	1501
589	2153	1496
590	2154	1491
591	2156	1486
592	2157	1480
593	2159	1475
594	2160	1470
595	2162	1465
596	2164	1460
597	2165	1455
598	2167	1451
599	2169	1446
600	2170	1441
601	2172	1436
602	2174	1431
603	2176	1426
604	2177	1421
605	2180	1417
606	2181	1412
607	2183	1407
608	2257	1449
609	2258	1443
610	2259	1438
611	2264	1435
612	2265	1430
613	2266	1424
614	2273	1423
615	2274	1418
616	2278	1414
617	2279	1409
618	2280	1403
619	2283	1399
620	2284	1394
621	2285	1388
622	2287	1383
623	2288	1378
624	2289	1373
625	2290	1368
626	2291	1363
627	2293	1358
628	2294	1353
629	2304	1353
630	2305	1348
631	2306	1343
632	2310	1339
633	2311	1334
634	2312	1329
635	2313	1324
636	2314	1319
637	2315	1313
638	2316	1308
639	2317	1303
640	2319	1299
641	2320	1294
642	2321	1289
643	2322	1283
644	2323	1278
645	2324	1273
646	2325	1268
647	2326	1264
648	2327	1259
649	2329	1254
650	2330	1249
651	2331	1244
652	2332	1239
653	2334	1234
654	2335	1230
655	2336	1225
656	2337	1220
657	2338	1215
658	2339	1210
659	2340	1205
660	2341	1200
661	2345	1197
662	2346	1192
663	2347	1187
664	2348	1183
665	2350	1178
666	2352	1174
667	2353	1169
668	2354	1165
669	2355	1160
670	2356	1155
671	2357	1150
672	2359	1146
673	2360	1141
674	2361	1136
675	2362	1132
676	2363	1127
677	2364	1123
678	2366	1118
679	2367	1113
680	2368	1109
681	2369	1104
682	2370	1100
683	2371	1095
684	2372	1090
685	2373	1086
686	2374	1081
687	2375	1077
688	2377	1073
689	2378	1068
690	2380	1064
691	2381	1060
692	2382	1055
693	2383	1051
694	2385	1046
695	2386	1042
696	2387	1037
697	2388	1033
698	2389	1028
699	2390	1024
700	2391	1020
701	2392	1015
702	2393	1011
703	2405	1011
704	2406	1006
705	2406	1002
706	2407	997
707	2408	993
708	2409	989
709	2411	985
710	2412	980
711	2413	976
712	2414	972
713	2415	967
714	2417	963
715	2418	959
716	2419	954
717	2420	950
718	2422	946
719	2423	942
720	2424	938
721	2425	933
722	2426	929
723	2427	925
724	2428	921
725	2429	916
726	2430	912
727	2431	908
728	2432	904
729	2433	900
730	2434	895
731	2435	891
732	2438	888
733	2440	884
734	2441	880
735	2442	876
736	2443	871
737	2444	867
738	2445	863
739	2446	859
740	2447	855
741	2448	851
742	2463	852
743	2464	848
744	2465	843
745	2466	839
746	2467	835
747	2469	832
748	2470	827
749	2471	823
750	2472	819
751	2473	815
752	2474	811
753	2475	807
754	2482	805
755	2483	801
756	2485	797
757	2487	794
758	2488	790
759	2489	786
760	2490	782
761	2491	778
762	2492	774
763	2493	770
764	2494	766
765	2495	762
766	2496	758
767	2497	754
768	2498	750
769	2503	747
770	2505	744
771	2506	740
772	2507	736
773	2508	732
774	2509	728
775	2510	724
776	2511	720
777	2512	716
778	2513	713
779	2514	709
780	2515	705
781	2517	701
782	2518	697
783	2519	694
784	2520	690
785	2521	686
786	2522	682
787	2523	678
788	2524	674
789	2525	671
790	2526	667
791	2527	663
792	2528	660
793	2529	656
794	2531	652
795	2533	649
796	2534	645
797	2535	641
798	2536	637
799	2537	634
800	2538	630
801	2539	626
802	2540	623
803	2541	619
804	2542	615
805	2544	612
806	2546	608
807	2547	605
808	2548	601
809	2549	597
810	2549	594
811	2550	590
812	2551	586
813	2552	583
814	2553	579
815	2554	575
816	2555	572
817	2556	568
818	2557	565
819	2558	561
820	2559	558
821	2562	554
822	2565	551
823	2606	556
824	2613	554
825	2614	550
826	2616	547
827	2618	543
828	2620	540
829	2622	537
830	2626	534
831	2630	531
832	2631	527
833	2651	527
834	2653	524
835	2657	521
836	2658	517
837	2682	518
838	2692	516
839	2694	513
840	2696	509
841	2702	507
842	2703	503
843	2705	499
844	2706	496
845	2707	492
846	2708	489
847	2709	485
848	2711	482
849	2714	478
850	2725	477
851	2727	473
852	2730	470
853	2753	470
854	2755	467
855	2756	463
856	2757	460
857	2758	456
858	2762	453
859	2769	450
860	2770	447
861	2771	443
862	2772	440
863	2773	436
864	2774	433
865	2775	429
866	2776	425
867	2778	422
868	2780	419
869	2783	415
870	2786	412
871	2788	409
872	2791	406
873	2802	403
874	2803	400
875	2804	397
876	2805	393
877	2806	390
878	2807	386
879	2811	383
880	2813	379
881	2814	376
882	2815	373
883	2844	373
884	2846	369
885	2849	366
886	2850	363
887	2851	359
888	2855	356
889	2858	353
890	2860	349
891	2861	346
892	2862	342
893	2863	339
894	2870	336
895	2874	333
896	2877	330
897	2879	327
898	2880	323
899	2881	320
900	2884	316
901	2886	313
902	2889	310
903	2890	306
904	2891	303
905	2892	300
906	2893	296
907	2931	297
908	2932	293
909	2933	290
910	2935	286
911	2935	283
912	2940	280
913	2945	277
914	2948	273
915	2949	270
916	2959	267
917	2960	264
918	2962	261
919	2963	257
920	2964	254
921	2965	250
922	2966	247
923	2968	244
924	2969	240
925	2970	237
926	2971	233
927	2972	230
928	2973	227
929	2974	223
930	2975	220
931	2976	217
932	2977	213
933	2991	211
934	2991	207
935	2993	204
936	3002	201
937	3004	198
938	3006	195
939	3008	192
940	3016	189
941	3069	188
942	3071	185
943	3086	183
944	3098	180
945	3101	177
946	3106	173
947	3108	170
948	3118	167
949	3126	164
950	3128	161
951	3132	157
952	3143	155
953	3145	151
954	3275	154
955	3277	150
956	3281	147
957	3284	143
958	3285	140
959	3286	136
960	3287	133
961	3288	129
962	3290	126
963	3296	123
964	3298	119
965	3299	116
966	3300	112
967	3301	109
968	3302	105
969	3303	102
970	3304	98
971	3305	95
972	3307	91
973	3308	88
974	3309	84
975	3310	81
976	3311	77
977	3314	74
978	3315	71
979	3316	67
980	3317	64
981	3318	60
982	3319	57
983	3320	53
984	3321	50
985	3322	47
986	3324	43
987	3325	40
988	3327	37
989	3328	33
990	3349	30
991	3350	27
992	3352	23
993	3357	20
994	3358	16
995	3364	13
996	3368	10
997	3369	6
998	3371	3
999	3373	0
